Designator	LCSC Part #	Footprint	JLCValue	Mid X	Mid Y	Rotation	Layer	Val	Package
C1	C1525	0402	100n	87.9906	-65.0698	0	top	100n	C_0402_1005Metric
C2	C1525	0402	100n	91.163	-62.225	0	top	100n	C_0402_1005Metric
C2.1	C7171	CASE-A_3216	10uF	90.429	-41.905	-90	top	10uF	CP_EIA-3216-18_Kemet-A
C2.2	C7171	CASE-A_3216	10uF	90.429	-46.8834	90	top	10uF	CP_EIA-3216-18_Kemet-A
C3	C1525	0402	100n	91.191	-50.541	0	top	100n	C_0402_1005Metric
C4	C52923	0402	1u	84.206	-40.508	180	top	1u	C_0402_1005Metric
C5	C52923	0402	1u	84.206	-45.969	180	top	1u	C_0402_1005Metric
R1	C4109	0402	2K0	84.333	-47.493	180	top	2K0	R_0402_1005Metric
R2	C25871	0402	1K8	87.381	-48.634	-90	top	1K8	R_0402_1005Metric
R3	C11702	0402	1K0	86.238	-48.636	-90	top	1K0	R_0402_1005Metric
R4	C4109	0402	2K0	82.301	-47.493	180	top	2K0	R_0402_1005Metric
R5	C25862	0402	1K2	83.063	-65.019	180	top	1K2	R_0402_1005Metric
R6	C11702	0402	1K0	81.031	-65.019	0	top	1K0	R_0402_1005Metric
R7	C25744	0402	10K	84.7394	-64.13	-90	top	10K	R_0402_1005Metric
R8	C25744	0402	10K	86.5174	-64.13	-90	top	10K	R_0402_1005Metric
U1	C569042	LQFP-44	XC9572XL-10VQG44C	85.603	-56.383	-90	top	XC9572XL-10VQG44C	LQFP-44_10x10mm_P0.8mm
U2	C6186	SOT-223-3	AMS1117-3.3	84.206	-43.302	0	top	AMS1117-3.3	SOT-223-3_TabPin2
U3	C5446	SOT-23-3	XC6206P332MR	84.206	-43.302	-90	top	XC6206P332MR	SOT-23-3
